item_code,name,description,status,is_rentable,category,cost_code,item_unit
TJI23014,"TJI Joist 230 14"" ","TJI Joist 230 14"" ",1,0,EWP,2/06/18,ea
TJI23016,"TJI Joist 230 16"" ","TJI Joist 230 16"" ",1,0,EWP,2/06/18,ea
TJI360912,"TJI Joist 360 9 1/2"" ","TJI Joist 360 9 1/2"" ",1,0,EWP,2/06/18,ea
TJI3601178,"TJI Joist 360 11 7/8"" ","TJI Joist 360 11 7/8"" ",1,0,EWP,2/06/18,ea
TJI36014,"TJI Joist 360 14"" ","TJI Joist 360 14"" ",1,0,EWP,2/06/18,ea
TJI36016,"TJI Joist 360 16"" ","TJI Joist 360 16"" ",1,0,EWP,2/06/18,ea
TJI5601178,"TJI Joist 560 11 7/8"" ","TJI Joist 560 11 7/8"" ",1,0,EWP,2/06/18,ea
TJI56014,"TJI Joist 560 14"" ","TJI Joist 560 14"" ",1,0,EWP,2/06/18,ea
TJI56016,"TJI Joist 560 16"" ","TJI Joist 560 16"" ",1,0,EWP,2/06/18,ea
ITS2.37/9.5,ITS2.37/9.5,ITS2.37/9.5,1,0,EWP,2/06/18,ea
ITS2.37/11.88,ITS2.37/11.88,ITS2.37/11.88,1,0,EWP,2/06/18,ea
ITS2.37/14,ITS2.37/14,ITS2.37/14,1,0,EWP,2/06/18,ea
ITS2.37/16,ITS2.37/16,ITS2.37/16,1,0,EWP,2/06/18,ea
IUS2.37/9.5,IUS2.37/9.5,IUS2.37/9.5,1,0,EWP,2/06/18,ea
IUS2.37/11.88,IUS2.37/11.88,IUS2.37/11.88,1,0,EWP,2/06/18,ea
IUS2.37/14,IUS2.37/14,IUS2.37/14,1,0,EWP,2/06/18,ea
IUS2.37/16,IUS2.37/16,IUS2.37/16,1,0,EWP,2/06/18,ea
SUR/L2.37/9,SUR/L2.37/9,SUR/L2.37/9,1,0,EWP,2/06/18,ea
SUR/L2.37/11.88,SUR/L2.37/11.88,SUR/L2.37/11.88,1,0,EWP,2/06/18,ea
SUR/L2.37/14,SUR/L2.37/14,SUR/L2.37/14,1,0,EWP,2/06/18,ea
SUR/L2.37/16,SUR/L2.37/16,SUR/L2.37/16,1,0,EWP,2/06/18,ea
ITS3.56/11.88,ITS3.56/11.88,ITS3.56/11.88,1,0,EWP,2/06/18,ea
ITS3.56/14,ITS3.56/14,ITS3.56/14,1,0,EWP,2/06/18,ea
ITS3.56/16,ITS3.56/16,ITS3.56/16,1,0,EWP,2/06/18,ea
IUS3.56/9.5,IUS3.56/9.5,IUS3.56/9.5,1,0,EWP,2/06/18,ea
IUS3.56/11.88,IUS3.56/11.88,IUS3.56/11.88,1,0,EWP,2/06/18,ea
IUS3.56/14,IUS3.56/14,IUS3.56/14,1,0,EWP,2/06/18,ea
IUS3.56/16,IUS3.56/16,IUS3.56/16,1,0,EWP,2/06/18,ea
SUR/L410,SUR/L410,SUR/L410,1,0,EWP,2/06/18,ea
SUR/L414/14,SUR/L414/14,SUR/L414/14,1,0,EWP,2/06/18,ea
MIU2.37/11,MIU2.37/11,MIU2.37/11,1,0,EWP,2/06/18,ea
HUC410,HUC410,HUC410,1,0,EWP,2/06/18,ea
HUC412,HUC412,HUC412,1,0,EWP,2/06/18,ea
HGUS5.50/10,HGUS5.50/10,HGUS5.50/10,1,0,EWP,2/06/18,ea
HGUS412,HGUS412,HGUS412,1,0,EWP,2/06/18,ea
HGUS5.50/12,HGUS5.50/12,HGUS5.50/12,1,0,EWP,2/06/18,ea
HUS1.81/10,HUS1.81/10,HUS1.81/10,1,0,EWP,2/06/18,ea
HGUS410,HGUS410,HGUS410,1,0,EWP,2/06/18,ea
HB1.81X H=11.813,HB1.81X H=11.813,HB1.81X H=11.813,1,0,EWP,2/06/18,ea
LT171188,LT171188,LT171188,1,0,EWP,2/06/18,ea
LT231188,LT231188,LT231188,1,0,EWP,2/06/18,ea
HGUS7.25/10,HGUS7.25/10,HGUS7.25/10,1,0,EWP,2/06/18,ea
HGUS5.50/10,HGUS5.50/10,HGUS5.50/10,1,0,EWP,2/06/18,ea
HUC610,HUC610,HUC610,1,0,EWP,2/06/18,ea
HUCQ410,HUCQ410,HUCQ410,1,0,EWP,2/06/18,ea
HUCQ410-SDS2.5  ,HUCQ410-SDS2.5  ,HUCQ410-SDS2.5  ,1,0,EWP,2/06/18,ea
HU410,HU410,HU410,1,0,EWP,2/06/18,ea
HGUS7.25/10,HGUS7.25/10,HGUS7.25/10,1,0,EWP,2/06/18,ea
