Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
LSL1341178(1.55E),"1 3/4"" x 11 7/8"" 1.55 Timberstrand LSL ","1 3/4"" x 11 7/8"" 1.55 Timberstrand LSL ",2-06-18,EWP,ea,NO
LSL13414(1.55E),"1 3/4"" x 14"" 1.55 Timberstrand LSL ","1 3/4"" x 14"" 1.55 Timberstrand LSL ",2-06-18,EWP,ea,NO
LSL13416(1.55E),"1 3/4"" x 16"" 1.55 Timberstrand LSL ","1 3/4"" x 16"" 1.55 Timberstrand LSL ",2-06-18,EWP,ea,NO
LSL134912(1.3E),"1 3/4"" x 9 1/2"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 9 1/2"" 1.3 Timberstrand LSL (rimjoist)",2-06-18,EWP,ea,NO
LSL1341178(1.3E),"1 3/4"" x 11 7/8"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 11 7/8"" 1.3 Timberstrand LSL (rimjoist)",2-06-18,EWP,ea,NO
LSL13414(1.3E),"1 3/4"" x 14"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 14"" 1.3 Timberstrand LSL (rimjoist)",2-06-18,EWP,ea,NO
LSL13416(1.3E),"1 3/4"" x 16"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 16"" 1.3 Timberstrand LSL (rimjoist)",2-06-18,EWP,ea,NO
LSL312912(1.55E),"3 1/2"" x 9 1/2"" 1.55 Timberstrand LSL ","3 1/2"" x 9 1/2"" 1.55 Timberstrand LSL ",2-06-18,EWP,ea,NO
LSL3121178(1.55E),"3 1/2"" x 11 7/8"" 1.55 Timberstrand LSL ","3 1/2"" x 11 7/8"" 1.55 Timberstrand LSL ",2-06-18,EWP,ea,NO
LSL31214(1.55E),"3 1/2"" x 14"" 1.55 Timberstrand LSL ","3 1/2"" x 14"" 1.55 Timberstrand LSL ",2-06-18,EWP,ea,NO
LSL31216(1.55E),"3 1/2"" x 16"" 1.55 Timberstrand LSL ","3 1/2"" x 16"" 1.55 Timberstrand LSL ",2-06-18,EWP,ea,NO
LVL134512(2.0E),"1 3/4"" x 5 1/2"" 2.0 Microllam LVL ","1 3/4"" x 5 1/2"" 2.0 Microllam LVL ",2-06-18,EWP,ea,NO
LVL134714(2.0E),"1 3/4"" x 7 1/4"" 2.0 Microllam LVL ","1 3/4"" x 7 1/4"" 2.0 Microllam LVL ",2-06-18,EWP,ea,NO
LVL134912(2.0E),"1 3/4"" x 9 1/2"" 2.0 Microllam LVL ","1 3/4"" x 9 1/2"" 2.0 Microllam LVL ",2-06-18,EWP,ea,NO
